"title","page","type","text","fullText","","","","","","","","","","","","","","","","","","","","","",""
"Fantasy","fantasy","Genres","A genre featuring magical elements, mythical creatures, and imaginative worlds, often set in medieval-like settings.","","","","","","","","","","","","","","","","","","","","","","",""
"High-Fantasy","high-fantasy","Genres","A subgenre of fantasy characterized by epic tales in entirely fictional worlds, with grand themes of good versus evil.","","","","","","","","","","","","","","","","","","","","","","",""
"Dark Fantasy","dark-fantasy","Genres","Combines fantasy elements with horror, presenting grim settings, morally ambiguous characters, and themes of despair.","","","","","","","","","","","","","","","","","","","","","","",""
"Science Fiction","science-fiction","Genres","Explores futuristic concepts, advanced technology, space exploration, and often delves into the impact of science on society.","","","","","","","","","","","","","","","","","","","","","","",""
"Cyberpunk","cyberpunk","Genres","A subgenre of science fiction set in dystopian futures, highlighting advanced technology, cybernetics, and societal decay.","","","","","","","","","","","","","","","","","","","","","","",""
"Post-Apocalyptic","post-apocalyptic","Genres","Depicts worlds after catastrophic events, focusing on survival in environments where civilization has collapsed.","","","","","","","","","","","","","","","","","","","","","","",""
"Horror","horror","Genres","A genre designed to evoke fear, featuring supernatural elements, monsters, or psychological terror.","","","","","","","","","","","","","","","","","","","","","","",""
"Cosmic Horror","cosmic-horror","Genres","Centers on the insignificance of humanity in the vast universe, often involving incomprehensible, malevolent entities.","","","","","","","","","","","","","","","","","","","","","","",""
"Urban Fantasy","urban-fantasy","Genres","Blends magical elements with modern urban settings, where supernatural beings coexist with everyday life.","","","","","","","","","","","","","","","","","","","","","","",""
"Space Opera","space-opera","Genres","A subgenre of science fiction emphasizing grand, adventurous narratives in space, often involving interstellar conflicts and heroic characters.","","","","","","","","","","","","","","","","","","","","","","",""
"Sword-and-Sorcery","sword-and-sorcery","Genres","Focuses on personal adventures of heroes wielding swords and encountering magic, typically in a fantasy setting.","","","","","","","","","","","","","","","","","","","","","","",""
"Gothic","gothic","Genres","Combines elements of horror and romance, featuring dark, mysterious settings, and themes of decay and madness.","","","","","","","","","","","","","","","","","","","","","","",""
"Supernatural","supernatural","Genres","Involves phenomena beyond the natural world, such as ghosts, spirits, and otherworldly occurrences.","","","","","","","","","","","","","","","","","","","","","","",""
"Military","military","Genres","Centers on armed forces and warfare, highlighting strategy, combat, and the experiences of soldiers.","","","","","","","","","","","","","","","","","","","","","","",""
"Mystery","mystery","Genres","Revolves around solving puzzles or crimes, with narratives driven by investigation and uncovering hidden truths.","","","","","","","","","","","","","","","","","","","","","","",""
"Historical","historical","Genres","Set in past eras, focusing on accurate depictions of historical events, cultures, and figures.","","","","","","","","","","","","","","","","","","","","","","",""
"Modern","modern","Genres","Takes place in contemporary settings, reflecting current societal norms, technology, and issues.","","","","","","","","","","","","","","","","","","","","","","",""
"Dystopian","dystopian","Genres","Depicts societies characterized by oppression, totalitarian regimes, and bleak conditions, often as a cautionary tale.","","","","","","","","","","","","","","","","","","","","","","",""
"Space-Western","space-western","Genres","Merges elements of Westerns with space settings, featuring frontier-like adventures in outer space.","","","","","","","","","","","","","","","","","","","","","","",""
"Nordic Mythology","nordic-mythology","Genres","Draws from the myths and legends of Norse culture, featuring gods, giants, and epic sagas.","","","","","","","","","","","","","","","","","","","","","","",""
"Aliens","aliens","Genres","Focuses on extraterrestrial beings, their cultures, and interactions with humanity.","","","","","","","","","","","","","","","","","","","","","","",""
"Interstellar Travel","interstellar-travel","Genres","Centers on journeys between stars and planets, exploring the challenges and wonders of space exploration.","","","","","","","","","","","","","","","","","","","","","","",""
"Star Trek","star-trek","Genres","A science fiction franchise set in a utopian future, following the adventures of Starfleet in exploring new worlds and civilizations.","","","","","","","","","","","","","","","","","","","","","","",""
"Star Wars","star-wars","Genres","A space opera franchise depicting the battle between the Sith and the Jedi, set in a galaxy with diverse species and complex politics.","","","","","","","","","","","","","","","","","","","","","","",""
"Old-School Renaissance (OSR)","old-school-renaissance-osr","Mechanics","A movement that emphasizes a return to the gameplay style of early tabletop RPGs, focusing on player agency, exploration, and challenging encounters.","","","","","","","","","","","","","","","","","","","","","","",""
"Forged in the Dark (FitD)","forged-in-the-dark-fitd","Mechanics","A game system derived from Blades in the Dark, featuring mechanics like action rolls, stress, and clocks to drive narrative-focused heist gameplay.","","","","","","","","","","","","","","","","","","","","","","",""
"Powered by the Apocalypse (PbtA)","powered-by-the-apocalypse-pbta","Mechanics","A framework for RPGs that uses moves triggered by narrative cues, emphasizing collaborative storytelling and character-driven plots.","","","","","","","","","","","","","","","","","","","","","","",""
"New School Revolution (NSR)","new-school-revolution","Mechanics","A movement within tabletop role-playing games that emphasizes innovative design, streamlined mechanics, and unique settings, moving away from traditional fantasy tropes.","The New School Revolution (NSR) is a movement within tabletop role-playing games (TTRPGs) that emphasizes innovative design, streamlined mechanics, and unique settings, moving away from traditional fantasy tropes. NSR games often feature rules-light systems, emergent narratives, and a focus on exploration and creativity, offering players fresh and unconventional gaming experiences.","","","","","","","","","","","","","","","","","","","","","",""
"Class-based","class-based","Mechanics","Game systems where characters choose specific classes or archetypes, each with unique abilities and progression paths.","","","","","","","","","","","","","","","","","","","","","","",""
"Classless","classless","Mechanics","Game systems that allow character development without predefined classes, offering flexibility in skill and ability selection.","","","","","","","","","","","","","","","","","","","","","","",""
"Universal","universal","Mechanics","Game systems designed to accommodate multiple genres and settings, providing adaptable mechanics for various playstyles.","","","","","","","","","","","","","","","","","","","","","","",""
"Narrative-Driven","narrative-driven","Mechanics","Games that prioritize storytelling and character development over tactical or mechanical complexity.","","","","","","","","","","","","","","","","","","","","","","",""
"Tactical","tactical","Mechanics","Games that emphasize strategic decision-making, often featuring detailed combat systems and resource management.","","","","","","","","","","","","","","","","","","","","","","",""
"Real-Time Mechanics","real-time-mechanics","Mechanics","Gameplay elements where actions and events occur simultaneously with the passage of real-world time, rather than in discrete turns.","","","","","","","","","","","","","","","","","","","","","","",""
"Streamlined","streamlined","Mechanics","Games with simplified rulesets designed for ease of play and quick understanding, reducing complexity without sacrificing depth.","","","","","","","","","","","","","","","","","","","","","","",""
"Innovative Mechanics","innovative-mechanics","Mechanics","Games that introduce new or unique gameplay systems, challenging traditional RPG conventions.","","","","","","","","","","","","","","","","","","","","","","",""
"Resource Management","resource-management","Mechanics","Games that require players to effectively manage limited resources, adding strategic depth to decision-making.","","","","","","","","","","","","","","","","","","","","","","",""
"Character Customization","character-customization","Mechanics","Games that offer extensive options for personalizing characters, including skills, abilities, and appearance.","","","","","","","","","","","","","","","","","","","","","","",""
"Exploration-Driven","exploration-driven","Mechanics","Games that focus on discovering new locations, uncovering secrets, and interacting with the environment.","","","","","","","","","","","","","","","","","","","","","","",""
"Survival","survival","Mechanics","Games that challenge players to endure harsh conditions, often involving mechanics like hunger, fatigue, and environmental hazards.","","","","","","","","","","","","","","","","","","","","","","",""
"Investigation","investigation","Mechanics","Games centered around solving mysteries, gathering clues, and uncovering hidden information.","","","","","","","","","","","","","","","","","","","","","","",""
"Heist","heist","Mechanics","Games that involve planning and executing complex thefts or missions, often requiring coordination and strategy.","","","","","","","","","","","","","","","","","","","","","","",""
"Team-Based","team-based","Mechanics","Games designed for cooperative play, where players work together to achieve common objectives.","","","","","","","","","","","","","","","","","","","","","","",""
"Solo Play","solo-play","Mechanics","Games specifically designed to be played by a single player, offering a complete experience without the need for a group.","","","","","","","","","","","","","","","","","","","","","","",""
"Tactical Combat","tactical-combat","Mechanics","Games that feature detailed and strategic combat systems, requiring careful planning and positioning.","","","","","","","","","","","","","","","","","","","","","","",""
"Skill-based","skill-based","Mechanics","Games where character abilities are determined by a set of skills, often allowing for specialized roles and expertise.","","","","","","","","","","","","","","","","","","","","","","",""
"Low Magic","low-magic","Mechanics","Games set in worlds where magic is rare or subdued, often focusing on realism and grounded storytelling.","","","","","","","","","","","","","","","","","","","","","","",""
"Sandbox","sandbox","Mechanics","Games that provide an open-world experience, allowing players to pursue goals and explore without a predetermined narrative.","","","","","","","","","","","","","","","","","","","","","","",""
"Collaborative Worldbuilding","collaborative-worldbuilding","Mechanics","Games that involve players in the creation and development of the game world, fostering shared ownership of the setting.","","","","","","","","","","","","","","","","","","","","","","",""
"Quick-Play / One-Shot","quick-play","Mechanics","Games designed for short sessions or one-shots, with rules that facilitate rapid setup and resolution.","","","","","","","","","","","","","","","","","","","","","","",""
"Rules Lite","rules-lite","Mechanics","Rules‑light games keep mechanics minimal so you can get to the table fast and stay in the story.","Rules‑light (aka rules‑lite) TTRPGs cut bookkeeping and edge cases so you can play sooner and focus on fiction. Expect: streamlined character creation, simple resolution (often 1–2 dice), and minimal modifiers. Great for one‑shots, new players, and tables that prefer rulings over rules. They’re not just ‘simple’—many are razor‑sharp by design (OSR/NSR titles, narrative engines, and modern indie systems). Browse below for quick starts and deeper picks across fantasy, horror, sci‑fi, and more.","","","","","","","","","","","","","","","","","","","","","",""
"Dark","dark","Themes","Explores themes of darkness, often delving into the more sinister aspects of human nature and the unknown.","","","","","","","","","","","","","","","","","","","","","","",""
"Mature","mature","Themes","Addresses complex and adult-oriented subjects, including themes like sexuality, morality, and existentialism.","","","","","","","","","","","","","","","","","","","","","","",""
"Political","political","Themes","Centers on political systems, power dynamics, governance, and the impact of political decisions on societies.","","","","","","","","","","","","","","","","","","","","","","",""
"Social Intrigue","social-intrigue","Themes","Focuses on complex social interactions, manipulation, and the intricate dynamics within societies or groups.","","","","","","","","","","","","","","","","","","","","","","",""
"Psychological","psychological","Themes","Delves into the human psyche, exploring mental states, motivations, and the complexities of the mind.","","","","","","","","","","","","","","","","","","","","","","",""
"Environmental","environmental","Themes","Highlights the relationship between humans and nature, often addressing ecological concerns and the impact of human activity on the environment.","","","","","","","","","","","","","","","","","","","","","","",""
"Bleak","bleak","Themes","Presents a pessimistic or desolate view of the world, emphasizing themes of despair, hopelessness, and the harsh realities of life.","","","","","","","","","","","","","","","","","","","","","","",""
"Metal","metal","Themes","Inspired by heavy metal culture, featuring elements like rebellion, darkness, and intense emotional expression.","","","","","","","","","","","","","","","","","","","","","","",""
"Feminist","feminist","Themes","Explores issues related to gender equality, women's rights, and the challenges faced by women in various societies.","","","","","","","","","","","","","","","","","","","","","","",""
"Cinematic","cinematic","Themes","Emulates the style and storytelling techniques of films, focusing on visual storytelling, dramatic narratives, and immersive experiences.","","","","","","","","","","","","","","","","","","","","","","",""
"Mythology and Folklore","mythology","Genres","Incorporates elements of mythology and folklore, drawing inspiration from ancient myths, legends, and cultural stories.","","","","","","","","","","","","","","","","","","","","","","",""
"Superheroes","superheroes","Genres","Centers on characters with superhuman abilities, often set in modern or futuristic settings, and explores themes of heroism and justice.","","","","","","","","","","","","","","","","","","","","","","",""
"Steampunk","steampunk","Genres","Combines elements of science fiction and fantasy, often featuring steam-powered technology, Victorian aesthetics, and alternate history.","","","","","","","","","","","","","","","","","","","","","","",""
"Western","western","Genres","Set in the American Old West, often featuring cowboys, outlaws, and frontier life, with themes of adventure and justice.","","","","","","","","","","","","","","","","","","","","","","",""
"Comedy","comedy","Genres","Focuses on humor and lightheartedness, often involving comedic situations, characters, and scenarios.","","","","","","","","","","","","","","","","","","","","","","",""
"Romance & Slice-of-Life","romance","Genres","Narrative-driven RPGs focusing on relationships, personal growth, and everyday life.","","","","","","","","","","","","","","","","","","","","","","",""
"Non-Western / Culturally Diverse","non-western","Genres","RPGs drawing on diverse cultural myths and non-Eurocentric perspectives.","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign","campaign","Mechanics","Long-term, narrative-driven campaigns for immersive storytelling.","","","","","","","","","","","","","","","","","","","","","","",""
"GM-less / Cooperative","gm-less","Mechanics","Systems that distribute storytelling responsibilities without a dedicated Game Master.","","","","","","","","","","","","","","","","","","","","","","",""
"Card-Based / Diceless","card-based","Mechanics","Games utilizing cards or alternative resolution systems instead of traditional dice.","","","","","","","","","","","","","","","","","","","","","","",""
"Low Prep","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Quick-Play","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e Compatible","5e-compatible","category","Games that are compatible with or based on Dungeons & Dragons 5th Edition mechanics. These systems use the d20 core, similar class structures, and can often use 5e modules and supplements with minimal conversion.","<h2>What is 5e Compatible?</h2><p>""5e Compatible"" games are tabletop RPGs that use the core mechanics of Dungeons & Dragons 5th Edition (D&D 5e) or are designed to work seamlessly with 5e content. This includes:</p><ul><li><strong>Direct compatibility</strong> – Games that use the same d20 system, proficiency bonuses, and core mechanics as 5e</li><li><strong>5e-based systems</strong> – Games that build on 5e foundations with additional rules or modifications</li><li><strong>OSR/retro-clones</strong> – Old-School Renaissance games that share DNA with early D&D editions and can often use 5e material</li></ul><h2>Why Play 5e Compatible Games?</h2><p><strong>Familiar Mechanics:</strong> If you know 5e, you already know most of the rules. Learning curve is minimal.</p><p><strong>Content Compatibility:</strong> Use your existing 5e modules, monsters, and magic items with little or no conversion.</p><p><strong>Variety Within Comfort:</strong> Experience different settings, genres, and playstyles while keeping the mechanics you enjoy.</p><p><strong>Community Size:</strong> 5e is the most popular TTRPG, so finding players and resources is easy.</p>","","","","","","","","","","","","","","","","","","","","","",""